assay_description,document_chembl_id,molecule_chembl_id,standard_units,standard_value,units,value,molecule_properties,pKi
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401213,mM/min,3110.0,mM/min,3110.0,"{'alogp': '1.87', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.49', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 3}",5.507239610973162
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401214,mM/min,1990.0,mM/min,1990.0,"{'alogp': '1.87', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 3}",5.701146923590294
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401215,mM/min,30.9,mM/min,30.9,"{'alogp': '1.17', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O3', 'full_mwt': '212.25', 'hba': 4, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '212.25', 'np_likeness_score': '-0.55', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.74', 'ro3_pass': 'N', 'rtb': 2}",7.510041520575165
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401216,mM/min,112.0,mM/min,112.0,"{'alogp': '1.56', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.29', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 3}",6.950781977329818
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401217,mM/min,26.2,mM/min,26.2,"{'alogp': '1.56', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.69', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 1}",7.581698708680254
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401218,mM/min,80.9,mM/min,80.9,"{'alogp': '1.56', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 3}",7.092051478387727
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401219,mM/min,144.0,mM/min,144.0,"{'alogp': '1.31', 'aromatic_rings': 1, 'full_molformula': 'C11H16N2O3', 'full_mwt': '224.26', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '224.26', 'np_likeness_score': '-0.47', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.78', 'ro3_pass': 'N', 'rtb': 3}",6.841637507904751
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401220,mM/min,74.5,mM/min,74.5,"{'alogp': '1.70', 'aromatic_rings': 1, 'full_molformula': 'C12H18N2O3', 'full_mwt': '238.29', 'hba': 4, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '238.29', 'np_likeness_score': '-0.41', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 3}",7.127843727251707
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401221,mM/min,92.0,mM/min,92.0,"{'alogp': '2.09', 'aromatic_rings': 1, 'full_molformula': 'C13H20N2O3', 'full_mwt': '252.31', 'hba': 4, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '252.31', 'np_likeness_score': '-0.42', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.83', 'ro3_pass': 'N', 'rtb': 3}",7.036212172654444
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401222,mM/min,1860.0,mM/min,1860.0,"{'alogp': '2.02', 'aromatic_rings': 1, 'full_molformula': 'C12H18N2O3', 'full_mwt': '238.29', 'hba': 4, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '238.29', 'np_likeness_score': '-0.50', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 3}",5.730487055782084
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401223,mM/min,1080.0,mM/min,1080.0,"{'alogp': '2.26', 'aromatic_rings': 1, 'full_molformula': 'C12H20N2O3', 'full_mwt': '240.30', 'hba': 4, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '240.30', 'np_likeness_score': '-0.54', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 4}",5.966576244513051
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401224,mM/min,180.0,mM/min,180.0,"{'alogp': '2.65', 'aromatic_rings': 1, 'full_molformula': 'C13H22N2O3', 'full_mwt': '254.33', 'hba': 4, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '254.33', 'np_likeness_score': '-0.62', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 5}",6.7447274948966935
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401225,mM/min,379.0,mM/min,379.0,"{'alogp': '2.41', 'aromatic_rings': 1, 'full_molformula': 'C13H20N2O3', 'full_mwt': '252.31', 'hba': 4, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '252.31', 'np_likeness_score': '-0.45', 'num_ro5_violations': 0, 'psa': '55.45', 'qed_weighted': '0.83', 'ro3_pass': 'N', 'rtb': 3}",6.421360790031928
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401226,mM/min,26.0,mM/min,26.0,"{'alogp': '1.65', 'aromatic_rings': 1, 'full_molformula': 'C13H20N2O4', 'full_mwt': '268.31', 'hba': 5, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '268.31', 'np_likeness_score': '-0.76', 'num_ro5_violations': 0, 'psa': '64.68', 'qed_weighted': '0.84', 'ro3_pass': 'N', 'rtb': 3}",7.585026652029182
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL2288464,mM/min,0.118,mM/min,0.118,"{'alogp': '1.04', 'aromatic_rings': 1, 'full_molformula': 'C7H10N2O3', 'full_mwt': '170.17', 'hba': 4, 'hbd': 0, 'heavy_atoms': 12, 'mw_freebase': '170.17', 'np_likeness_score': '-1.71', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.63', 'ro3_pass': 'N', 'rtb': 1}",9.928117992693874
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401227,mM/min,2.02,mM/min,2.02,"{'alogp': '1.61', 'aromatic_rings': 1, 'full_molformula': 'C9H12N2O3', 'full_mwt': '196.21', 'hba': 4, 'hbd': 0, 'heavy_atoms': 14, 'mw_freebase': '196.21', 'np_likeness_score': '-1.17', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.72', 'ro3_pass': 'N', 'rtb': 2}",8.694648630553376
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401228,mM/min,4.46,mM/min,4.46,"{'alogp': '1.86', 'aromatic_rings': 1, 'full_molformula': 'C9H14N2O3', 'full_mwt': '198.22', 'hba': 4, 'hbd': 0, 'heavy_atoms': 14, 'mw_freebase': '198.22', 'np_likeness_score': '-1.02', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.73', 'ro3_pass': 'N', 'rtb': 2}",8.350665141287859
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401229,mM/min,1.86,mM/min,1.86,"{'alogp': '2.00', 'aromatic_rings': 1, 'full_molformula': 'C10H14N2O3', 'full_mwt': '210.23', 'hba': 4, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '210.23', 'np_likeness_score': '-1.08', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.75', 'ro3_pass': 'N', 'rtb': 2}",8.730487055782083
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401230,mM/min,60.1,mM/min,60.1,"{'alogp': '2.25', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O3', 'full_mwt': '212.25', 'hba': 4, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '212.25', 'np_likeness_score': '-1.01', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 3}",7.221125527997261
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401231,mM/min,4.62,mM/min,4.62,"{'alogp': '2.39', 'aromatic_rings': 1, 'full_molformula': 'C11H16N2O3', 'full_mwt': '224.26', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '224.26', 'np_likeness_score': '-1.05', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 2}",8.335358024443874
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401232,mM/min,50.9,mM/min,50.9,"{'alogp': '2.64', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.83', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",7.293282217663242
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401233,mM/min,9.04,mM/min,9.04,"{'alogp': '2.64', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.86', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",8.043831569524636
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401234,mM/min,2.13,mM/min,2.13,"{'alogp': '3.42', 'aromatic_rings': 1, 'full_molformula': 'C13H22N2O3', 'full_mwt': '254.33', 'hba': 4, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '254.33', 'np_likeness_score': '-0.54', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.78', 'ro3_pass': 'N', 'rtb': 6}",8.671620396561263
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401235,mM/min,1.59,mM/min,1.59,"{'alogp': '1.93', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O3', 'full_mwt': '212.25', 'hba': 4, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '212.25', 'np_likeness_score': '-1.06', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.77', 'ro3_pass': 'N', 'rtb': 3}",8.79860287567955
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401236,mM/min,1.7,mM/min,1.7,"{'alogp': '2.32', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-0.76', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",8.769551078621726
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401237,mM/min,0.44,mM/min,0.44,"{'alogp': '2.32', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-1.08', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.78', 'ro3_pass': 'N', 'rtb': 2}",9.356547323513812
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401238,mM/min,1.91,mM/min,1.91,"{'alogp': '2.32', 'aromatic_rings': 1, 'full_molformula': 'C11H18N2O3', 'full_mwt': '226.28', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '226.28', 'np_likeness_score': '-1.02', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",8.718966632752272
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401239,mM/min,8.26,mM/min,8.26,"{'alogp': '2.08', 'aromatic_rings': 1, 'full_molformula': 'C11H16N2O3', 'full_mwt': '224.26', 'hba': 4, 'hbd': 0, 'heavy_atoms': 16, 'mw_freebase': '224.26', 'np_likeness_score': '-0.96', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",8.083019952679617
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3401240,mM/min,7.24,mM/min,7.24,"{'alogp': '2.47', 'aromatic_rings': 1, 'full_molformula': 'C12H18N2O3', 'full_mwt': '238.29', 'hba': 4, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '238.29', 'np_likeness_score': '-0.87', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 4}",8.140261433802854
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3403720,mM/min,13.1,mM/min,13.1,"{'alogp': '2.86', 'aromatic_rings': 1, 'full_molformula': 'C13H20N2O3', 'full_mwt': '252.31', 'hba': 4, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '252.31', 'np_likeness_score': '-0.85', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.83', 'ro3_pass': 'N', 'rtb': 4}",7.882728704344236
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3403721,mM/min,9.14,mM/min,9.14,"{'alogp': '3.03', 'aromatic_rings': 1, 'full_molformula': 'C12H20N2O3', 'full_mwt': '240.30', 'hba': 4, 'hbd': 0, 'heavy_atoms': 17, 'mw_freebase': '240.30', 'np_likeness_score': '-0.87', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 5}",8.03905380426617
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3403722,mM/min,1.62,mM/min,1.62,"{'alogp': '3.17', 'aromatic_rings': 1, 'full_molformula': 'C13H20N2O3', 'full_mwt': '252.31', 'hba': 4, 'hbd': 0, 'heavy_atoms': 18, 'mw_freebase': '252.31', 'np_likeness_score': '-0.94', 'num_ro5_violations': 0, 'psa': '55.57', 'qed_weighted': '0.83', 'ro3_pass': 'N', 'rtb': 4}",8.790484985457368
Inhibition of recombinant human AChE,CHEMBL3399922,CHEMBL3403723,mM/min,2.68,mM/min,2.68,"{'alogp': '2.41', 'aromatic_rings': 1, 'full_molformula': 'C13H20N2O4', 'full_mwt': '268.31', 'hba': 5, 'hbd': 0, 'heavy_atoms': 19, 'mw_freebase': '268.31', 'np_likeness_score': '-1.22', 'num_ro5_violations': 0, 'psa': '64.80', 'qed_weighted': '0.84', 'ro3_pass': 'N', 'rtb': 4}",8.57186520597121
Inhibition of AChE (unknown origin) by Dixon plot analysis,CHEMBL3585347,CHEMBL3586199,nM,2490.0,uM,2.49,"{'alogp': '7.48', 'aromatic_rings': 0, 'full_molformula': 'C34H56O5', 'full_mwt': '544.82', 'hba': 5, 'hbd': 1, 'heavy_atoms': 39, 'mw_freebase': '544.82', 'np_likeness_score': '1.97', 'num_ro5_violations': 2, 'psa': '72.83', 'qed_weighted': '0.36', 'ro3_pass': 'N', 'rtb': 2}",5.603800652904264
Inhibition of AChE (unknown origin) by Dixon plot analysis,CHEMBL3585347,CHEMBL3586200,nM,7970.0,uM,7.97,"{'alogp': '7.07', 'aromatic_rings': 1, 'full_molformula': 'C39H56O7', 'full_mwt': '636.87', 'hba': 6, 'hbd': 4, 'heavy_atoms': 46, 'mw_freebase': '636.87', 'np_likeness_score': '2.56', 'num_ro5_violations': 2, 'psa': '124.29', 'qed_weighted': '0.19', 'ro3_pass': 'N', 'rtb': 6}",5.098541678603888
Inhibition of AChE (unknown origin) by Dixon plot analysis,CHEMBL3585347,CHEMBL3586207,nM,1170.0,uM,1.17,"{'alogp': '1.73', 'aromatic_rings': 0, 'full_molformula': 'C10H16O3', 'full_mwt': '184.24', 'hba': 2, 'hbd': 2, 'heavy_atoms': 13, 'mw_freebase': '184.24', 'np_likeness_score': '1.98', 'num_ro5_violations': 0, 'psa': '57.53', 'qed_weighted': '0.49', 'ro3_pass': 'N', 'rtb': 6}",5.931814138253839
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585775,nM,0.0056,pM,5.6,"{'alogp': '2.52', 'aromatic_rings': 2, 'full_molformula': 'C17H20N2O5S', 'full_mwt': '364.42', 'hba': 5, 'hbd': 2, 'heavy_atoms': 25, 'mw_freebase': '364.42', 'np_likeness_score': '-0.80', 'num_ro5_violations': 0, 'psa': '93.73', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 7}",11.2518119729938
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585776,nM,0.0045,pM,4.5,"{'alogp': '2.52', 'aromatic_rings': 2, 'full_molformula': 'C17H20N2O5S', 'full_mwt': '364.42', 'hba': 5, 'hbd': 2, 'heavy_atoms': 25, 'mw_freebase': '364.42', 'np_likeness_score': '-0.76', 'num_ro5_violations': 0, 'psa': '93.73', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 7}",11.346787486224656
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585777,nM,0.0051,pM,5.1,"{'alogp': '2.53', 'aromatic_rings': 2, 'full_molformula': 'C18H22N2O6S', 'full_mwt': '394.45', 'hba': 6, 'hbd': 2, 'heavy_atoms': 27, 'mw_freebase': '394.45', 'np_likeness_score': '-0.63', 'num_ro5_violations': 0, 'psa': '102.96', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 8}",11.292429823902063
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585778,nM,0.0229,pM,22.9,"{'alogp': '2.53', 'aromatic_rings': 2, 'full_molformula': 'C18H22N2O6S', 'full_mwt': '394.45', 'hba': 6, 'hbd': 2, 'heavy_atoms': 27, 'mw_freebase': '394.45', 'np_likeness_score': '-0.78', 'num_ro5_violations': 0, 'psa': '102.96', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 8}",10.640164517660113
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585779,nM,0.0105,pM,10.5,"{'alogp': '2.53', 'aromatic_rings': 2, 'full_molformula': 'C18H22N2O6S', 'full_mwt': '394.45', 'hba': 6, 'hbd': 2, 'heavy_atoms': 27, 'mw_freebase': '394.45', 'np_likeness_score': '-0.52', 'num_ro5_violations': 0, 'psa': '102.96', 'qed_weighted': '0.71', 'ro3_pass': 'N', 'rtb': 8}",10.978810700930062
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585780,nM,0.0382,pM,38.2,"{'alogp': '0.55', 'aromatic_rings': 1, 'full_molformula': 'C9H14N2O3S', 'full_mwt': '230.29', 'hba': 3, 'hbd': 2, 'heavy_atoms': 15, 'mw_freebase': '230.29', 'np_likeness_score': '-1.19', 'num_ro5_violations': 0, 'psa': '81.42', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",10.41793663708829
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585781,nM,0.0063,pM,6.3,"{'alogp': '0.55', 'aromatic_rings': 1, 'full_molformula': 'C9H14N2O3S', 'full_mwt': '230.29', 'hba': 3, 'hbd': 2, 'heavy_atoms': 15, 'mw_freebase': '230.29', 'np_likeness_score': '-1.07', 'num_ro5_violations': 0, 'psa': '81.42', 'qed_weighted': '0.79', 'ro3_pass': 'N', 'rtb': 4}",11.200659450546418
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585782,nM,0.0049,pM,4.9,"{'alogp': '0.56', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O4S', 'full_mwt': '260.31', 'hba': 4, 'hbd': 2, 'heavy_atoms': 17, 'mw_freebase': '260.31', 'np_likeness_score': '-0.82', 'num_ro5_violations': 0, 'psa': '90.65', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 5}",11.309803919971486
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585783,nM,0.0056,pM,5.6,"{'alogp': '0.56', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O4S', 'full_mwt': '260.31', 'hba': 4, 'hbd': 2, 'heavy_atoms': 17, 'mw_freebase': '260.31', 'np_likeness_score': '-1.06', 'num_ro5_violations': 0, 'psa': '90.65', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 5}",11.2518119729938
Inhibition of acetylcholinesterase (unknown origin) assessed as AChI hydrolysis using AChI and DTNB as substrate by Ellman's method,CHEMBL3585326,CHEMBL3585784,nM,0.0081,pM,8.1,"{'alogp': '0.56', 'aromatic_rings': 1, 'full_molformula': 'C10H16N2O4S', 'full_mwt': '260.31', 'hba': 4, 'hbd': 2, 'heavy_atoms': 17, 'mw_freebase': '260.31', 'np_likeness_score': '-0.67', 'num_ro5_violations': 0, 'psa': '90.65', 'qed_weighted': '0.81', 'ro3_pass': 'N', 'rtb': 5}",11.09151498112135
Reversible inhibition of AChE from human erythrocytes by by Lineweaver-Burk plot,CHEMBL3621133,CHEMBL3621322,nM,0.08,nM,0.08,"{'alogp': '6.59', 'aromatic_rings': 3, 'full_molformula': 'C37H56Br2N6O6', 'full_mwt': '840.70', 'hba': 8, 'hbd': 0, 'heavy_atoms': 49, 'mw_freebase': '680.89', 'np_likeness_score': '-0.62', 'num_ro5_violations': 2, 'psa': '130.28', 'qed_weighted': '0.05', 'ro3_pass': 'N', 'rtb': 22}",10.096910013008056
Reversible inhibition of AChE from human erythrocytes by by Lineweaver-Burk plot,CHEMBL3621133,CHEMBL3621333,nM,50.12,nM,50.12,"{'alogp': '7.26', 'aromatic_rings': 4, 'full_molformula': 'C41H54Br2N6O6', 'full_mwt': '886.73', 'hba': 8, 'hbd': 0, 'heavy_atoms': 53, 'mw_freebase': '726.92', 'np_likeness_score': '-0.35', 'num_ro5_violations': 2, 'psa': '130.28', 'qed_weighted': '0.11', 'ro3_pass': 'N', 'rtb': 8}",7.299988937677887
Competitive inhibition of human recombinant AChE using acetylthiocholine as substrate preincubated for 5 mins followed by substrate addition measured every 2 mins by Lineweaver-Burk plot analysis,CHEMBL3632576,CHEMBL3632994,nM,49.5,nM,49.5,"{'alogp': '8.05', 'aromatic_rings': 3, 'full_molformula': 'C35H46ClN3O3', 'full_mwt': '592.22', 'hba': 5, 'hbd': 3, 'heavy_atoms': 42, 'mw_freebase': '592.22', 'np_likeness_score': '-0.08', 'num_ro5_violations': 2, 'psa': '83.48', 'qed_weighted': '0.20', 'ro3_pass': 'N', 'rtb': 11}",7.305394801066432
Irreversible inhibition of AChE (unknown origin),CHEMBL3734729,CHEMBL603622,nM,140.0,nM,140.0,"{'alogp': '1.23', 'aromatic_rings': 0, 'full_molformula': 'C8H11O6P', 'full_mwt': '234.14', 'hba': 6, 'hbd': 0, 'heavy_atoms': 15, 'mw_freebase': '234.14', 'np_likeness_score': '0.70', 'num_ro5_violations': 0, 'psa': '71.06', 'qed_weighted': '0.50', 'ro3_pass': 'N', 'rtb': 1}",6.853871964321762
Mixed-type inhibition of recombinant human AChE using acetylthiocholine iodide as substrate assessed as enzyme-inhibitor complex by Lineweaver-Burk double reciprocal plot method,CHEMBL3751805,CHEMBL3752467,nM,0.72,nM,0.72,"{'alogp': '7.01', 'aromatic_rings': 4, 'full_molformula': 'C29H35N3O', 'full_mwt': '441.62', 'hba': 4, 'hbd': 2, 'heavy_atoms': 33, 'mw_freebase': '441.62', 'np_likeness_score': '-0.59', 'num_ro5_violations': 1, 'psa': '50.09', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 11}",9.142667503568731
Mixed-type inhibition of recombinant human AChE using acetylthiocholine iodide as substrate assessed as enzyme-substrate-inhibitor complex by Lineweaver-Burk double reciprocal plot method,CHEMBL3751805,CHEMBL3752467,nM,1.04,nM,1.04,"{'alogp': '7.01', 'aromatic_rings': 4, 'full_molformula': 'C29H35N3O', 'full_mwt': '441.62', 'hba': 4, 'hbd': 2, 'heavy_atoms': 33, 'mw_freebase': '441.62', 'np_likeness_score': '-0.59', 'num_ro5_violations': 1, 'psa': '50.09', 'qed_weighted': '0.25', 'ro3_pass': 'N', 'rtb': 11}",8.98296666070122
